Team Key,TeamName,Country,Game Key
T_105,ENCE eSports,,9
T_106,KT Rolster,,5
T_107,Evil Geniuses,,10
T_108,Millenium,,10
T_109,Splyce,,6
T_110,Prime,,2
T_111,ROOT Gaming,,2
T_112,Team Acer,,6
T_113,mousesports,,2
T_114,Ting,,1
T_115,mYinsanity,,3
T_116,Old Generations,,9
T_117,Team expert,,10
T_118,CJ Entus,,2
T_119,PSISTORM Gaming,,5
T_120,Team SCV Life,,7
T_121,FXOpen e-Sports,,1
T_122,SlayerS,,10
T_123,Dragon Phoenix Gaming,,5
T_124,Woongjin Stars,,5
T_125,STX SouL,,4
T_126,CM Storm,,10
T_127,Chivo SC,,5
T_128,Team QLASH,,4
T_129,EURONICS Gaming,,10
T_130,Team Dignitas,,9
T_131,SK Gaming,,4
T_132,Axiom eSports,,10
T_133,Ballistix,,8
T_134,Team Reciprocity,,6
T_135,Team Empire,,1
T_136,Triumphant Song Gaming,,3
T_137,AZUBU,,3
T_138,KaiZi Gaming,,3
T_139,Quantic Gaming,,9
T_140,Dead Pixels,,5
T_141,Team Roccat,,10
T_142,The Gosu Crew,,8
T_143,Mkers,,3
T_144,Zenith of Origin,,4
T_145,True eSport,,4
T_146,ALTERNATE aTTaX,,6
T_147,Raise Your Edge Gaming,,5
T_148,Karont3 e-Sports Club,,1
T_149,New Star HoSeo,,8
T_150,Cascade,,5
T_151,Invasion eSport,,2
T_152,OSC Elite,,4
T_153,Brave Star Gaming,,4
T_154,Ocean Gaming,,4
T_155,ZeNEX,,1
T_156,Arma Team,,3
T_157,Alliance,,4
T_158,Radical Online X-tremists,,7
T_159,mTw,,9
T_160,Gama Bears,,3
T_161,Wayi Spider,,4
T_162,Alien Invasion,,4
T_163,X-Team,,6
T_164,ESC Gaming,,1
T_165,AT Gaming,,2
T_166,TitanEX1,,1
T_167,AGO Esports,,5
