Player Id,First Name,Last Name,Current Handle,Country Key
1426,Seok Hyun,Ko,HyuN,C_117
1429,Seung Hyun,Lee,Life,C_117
1430,Xiang,Hu,MacSed,C_044
1484,Wiktor,Wojtas,TaZ,C_178
1485,Filip,Kubski,neo,C_178
1488,Jaros?aw,Jarz?bkowski,pashaBiceps,C_178
1490,Patrik,Lindberg,f0rest,C_217
1492,Christopher,Alesund,GeT_RiGhT,C_217
1494,Mikhail,Stolyarov,Dosia,C_186
1505,Young Ho,Lee,Flash,C_117
1507,Jae Dong,Lee,Jaedong,C_117
1510,Ioann,Sukharev,Edward,C_233
1511,Daniil,Teslenko,Zeus,C_233
1853,Peter,Peng,Doublelift,C_241
1861,Bora,Kim,YellOwStaR,C_075
1863,Paul,Boyer,sOAZ,C_075
1892,Enrique,Cede�o Martinez,xPeke,C_210
1949,Daryl Pei Xiang,Koh,iceiceice,C_203
2221,Dong Won,Shin,Hydra,C_117
2224,Tae Yang,Jun,TY,C_117
2230,Min Chul,Kim,Soulkey,C_117
2236,Dae Yeob,Kim,Stats,C_117
2268,Shin Hyung,Lee,INnoVation,C_117
2271,Doh Woo,Kim,Classic,C_117
2272,Yoo Jin,Kim,sOs,C_117
2274,Dong Jun,Baek,Dear,C_117
2280,Sasha,Hostyn,Scarlett,C_037
2339,Sebastian,Widlund,chipshajen,C_217
2440,Richard,Landstr�m,Xizt,C_217
2450,Aleksi,Jalli,allu,C_073
2452,Finn,Andersen,karrigan,C_060
2455,Gabriel,Toledo,FalleN,C_025
2456,Lincoln,Lau,fnx,C_025
2484,Jordan,Gilbert,n0thing,C_241
2494,Dennis,Edman,dennis,C_217
2529,Christophe,Xia,SIXER,C_075
2574,Danil,Ishutin,Dendi,C_233
2576,Oleksandr,Dashkevych,XBOCT,C_233
2578,Clement,Ivanov,Puppey,C_068
2581,Zengrong,Lei,MMY!,C_044
2582,Zhicheng,Zhang,LaNm,C_044
2589,Rasmus,Fillipsen,MiSeRy,C_060
2594,Zhaohui,Wang,SanSheng,C_044
2596,Ning,Zhang,xiao8,C_044
2598,Fa Ming,Liang,DDC,C_129
2610,Clinton,Loomis,Fear,C_241
2615,Saahil,Arora,UNiVeRsE,C_241
2620,Marc,Schlappi,uThermal,C_151
2749,Chan Yong,Kang,Ambition,C_117
2762,Jung,Eon-yeong,Impact,C_117
2775,Hui Ming,Huang,TooDming,C_044
2795,Rickard,Bergman,SortOf,C_217
2805,Chris,Buechter,Zuna,C_241
2811,Sébastien,Debs,Ceb,C_075
2833,Yao,Xiang,XY,C_044
2890,Hyun Woo,Kang,First,C_117
2989,Jason,Tran,WildTurtle,C_037
2992,Jake,Puchero,Xmithie,C_176
3041,Yoon Jong,Jung,Rain,C_117
3042,Joon Ho,Kim,herO,C_117
3091,Patrick,Brix,Bunny,C_060
3140,Joakim,Akterhall,Akke,C_217
3141,Jonathan,Berg,Loda,C_217
3145,Kuro,Takhasomi,KuroKy,C_084
3146,Zhihao,Chen,Hao,C_044
3147,Pan,Zhang,Mu,C_044
3151,Yee Fung,Chai,Mushi,C_132
3157,Zhilei,Xu,BurNIng,C_044
3160,Fan,Bai,rOtK,C_044
3161,Junhao,Xie,Super,C_044
3163,Jiajun,Liu,Sylar,C_044
3164,Zhengzheng,Yao,Yao,C_044
3167,Hock Chuan,Wong,ChuaN,C_132
3168,Hongda,Zeng,Faith,C_044
3176,Jong In,Kim,PraY,C_117
3177,Sang Ook,Yoo,Ryu,C_117
3178,Dong Bin,Go,Score,C_117
3255,Drew,Biessener,Tidesoftime,C_241
3256,Kurtis,Ling,Aui_2000,C_037
3287,Adam,Friberg,friberg,C_217
3289,Kenny,Schrub,kennyS,C_075
3290,Nathan,Schmitt,NBK,C_075
3291,Edouard,Dubourdeaux,SmithZz,C_075
3293,Cédric,Guipouy,RpK,C_075
3304,Johan,Sundstein,N0tail,C_060
3305,Tal,Aizik,Fly,C_108
3371,June Tsan,Wang,Stanley,C_045
3372,Kuan Po,Sung,Lilballz,C_045
3373,Kurtis Wai Kin,Lau,Toyz,C_100
3374,Bo Wei,Cheng,bebe,C_045
3375,Hui Chung,Chen,MiSTakE,C_045
3384,Zhihao,Liu,Zzitai,C_044
3386,Kai,Ming,ClearLove,C_044
3387,Zhuojun,Feng,Fzzf,C_044
3435,Sung Ho,Cho,Trap,C_117
3441,Hee Bum,Shin,RagnaroK,C_117
3481,Yoon Su,Eu,soO,C_117
3482,Dylan,Bignet,aKm,C_075
3512,In Kyu,Choi,DanDy,C_117
3513,Seung Bin,Gu,imp,C_117
3518,Gabriel,Segat,HeRoMaRinE,C_084
3521,Seok Hee,Son,StarDust,C_117
3522,Jacky,Mao,EternaLEnVy,C_037
3523,Henrik,Ahnberg,AdmiralBulldog,C_217
3524,Gustav,Magnusson,s4,C_217
3554,Martin,Larsson,Rekkles,C_217
3555,Dennis,Johnsen,Svenskeren,C_060
3556,Søren,Bjerg,Bjergsen,C_060
3576,Simon,Eliasson,twist,C_217
3586,Artem,Barshack,fng,C_034
3591,Keenan,Santos,Rhux,C_241
3613,Kevin,de Koning,Harstem,C_151
3616,Ji Won,Han,ByuL,C_117
3620,Ryung Woo,Park,Dark,C_117
3634,Kyung Sup,Yoon,Zero,C_117
3636,Jun Sik,Bae,Bang,C_117
3651,Tae Su,Bang,TRUE,C_117
3655,Ki Woong,Nam,Hurricane,C_117
3657,Min Soo,Kang,Solar,C_117
